,TIME,EVENT,JOB NAME,DURATION,OUTCOME,START TIME,END TIME
22108,2018-04-18 03:34:12,STOP,TOUHJ081,0 days 01:59:26.000000000,Successful,2018-04-18 01:34:46,2018-04-18 03:34:12
23030,2018-04-18 20:33:42,STOP,TOUHJ010,0 days 00:02:56.000000000,Successful,2018-04-18 20:30:46,2018-04-18 20:33:42
23066,2018-04-18 20:37:48,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-18 20:37:31,2018-04-18 20:37:48
23204,2018-04-18 23:54:32,STOP,TOUHJ029,0 days 03:16:43.000000000,Successful,2018-04-18 20:37:49,2018-04-18 23:54:32
23224,2018-04-19 00:03:26,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-19 00:01:06,2018-04-19 00:03:26
23300,2018-04-19 01:44:34,STOP,TOUHJ011,0 days 01:49:58.000000000,Successful,2018-04-18 23:54:36,2018-04-19 01:44:34
23658,2018-04-19 03:41:59,STOP,TOUHJ081,0 days 01:56:29.000000000,Successful,2018-04-19 01:45:30,2018-04-19 03:41:59
24582,2018-04-19 20:33:35,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-19 20:30:37,2018-04-19 20:33:35
24618,2018-04-19 20:38:46,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-19 20:38:29,2018-04-19 20:38:46
24756,2018-04-19 23:49:08,STOP,TOUHJ029,0 days 03:10:20.000000000,Successful,2018-04-19 20:38:48,2018-04-19 23:49:08
24779,2018-04-20 00:03:24,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-20 00:01:04,2018-04-20 00:03:24
24852,2018-04-20 01:40:13,STOP,TOUHJ011,0 days 01:51:01.000000000,Successful,2018-04-19 23:49:12,2018-04-20 01:40:13
25210,2018-04-20 03:40:08,STOP,TOUHJ081,0 days 01:59:00.000000000,Successful,2018-04-20 01:41:08,2018-04-20 03:40:08
26218,2018-04-20 20:33:38,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-20 20:30:40,2018-04-20 20:33:38
26254,2018-04-20 20:38:46,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-20 20:38:29,2018-04-20 20:38:46
26398,2018-04-20 23:49:07,STOP,TOUHJ029,0 days 03:10:19.000000000,Successful,2018-04-20 20:38:48,2018-04-20 23:49:07
26417,2018-04-21 00:03:37,STOP,TOUHJ050,0 days 00:02:20.000000000,Successful,2018-04-21 00:01:17,2018-04-21 00:03:37
26466,2018-04-21 01:12:08,STOP,TOUHJ011,0 days 01:22:57.000000000,Successful,2018-04-20 23:49:11,2018-04-21 01:12:08
26780,2018-04-21 03:04:05,STOP,TOUHJ081,0 days 01:51:02.000000000,Successful,2018-04-21 01:13:03,2018-04-21 03:04:05
27280,2018-04-21 20:33:33,STOP,TOUHJ010,0 days 00:03:01.000000000,Successful,2018-04-21 20:30:32,2018-04-21 20:33:33
27316,2018-04-21 20:38:43,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-21 20:38:26,2018-04-21 20:38:43
27394,2018-04-21 23:52:12,STOP,TOUHJ029,0 days 03:13:28.000000000,Successful,2018-04-21 20:38:44,2018-04-21 23:52:12
27413,2018-04-22 00:02:23,STOP,TOUHJ050,0 days 00:01:16.000000000,Successful,2018-04-22 00:01:07,2018-04-22 00:02:23
27460,2018-04-22 01:29:11,STOP,TOUHJ011,0 days 01:36:57.000000000,Successful,2018-04-21 23:52:14,2018-04-22 01:29:11
27646,2018-04-22 03:30:36,STOP,TOUHJ081,0 days 02:00:25.000000000,Successful,2018-04-22 01:30:11,2018-04-22 03:30:36
28997,2018-04-23 20:33:38,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-23 20:30:40,2018-04-23 20:33:38
29033,2018-04-23 20:38:47,STOP,TOUHJ028,0 days 00:00:17.000000000,Successful,2018-04-23 20:38:30,2018-04-23 20:38:47
29171,2018-04-23 23:54:24,STOP,TOUHJ029,0 days 03:15:36.000000000,Successful,2018-04-23 20:38:48,2018-04-23 23:54:24
29191,2018-04-24 00:02:20,STOP,TOUHJ050,0 days 00:01:14.000000000,Successful,2018-04-24 00:01:06,2018-04-24 00:02:20
29263,2018-04-24 01:29:18,STOP,TOUHJ011,0 days 01:34:51.000000000,Successful,2018-04-23 23:54:27,2018-04-24 01:29:18
29614,2018-04-24 03:27:04,STOP,TOUHJ081,0 days 01:56:39.000000000,Successful,2018-04-24 01:30:25,2018-04-24 03:27:04
30535,2018-04-24 20:33:39,STOP,TOUHJ010,0 days 00:02:58.000000000,Successful,2018-04-24 20:30:41,2018-04-24 20:33:39
30571,2018-04-24 20:38:47,STOP,TOUHJ028,0 days 00:00:16.000000000,Successful,2018-04-24 20:38:31,2018-04-24 20:38:47
